eval_axis,EHVI,ParEGO,MESMO,NSGA2,MOEAD,SMSEMOA,RandomSearch
300,14.53194356667033,15.809556366642937,5.984990966700328,1.424524542002473,0.021370833390392363,1.2293887959994816,0.0
305,16.427657733360927,14.617289333332641,5.577123400017929,1.8200947926759985,0.017706066641646128,1.458276424001277,0.0
310,14.00138579995837,19.467459666620318,6.976404600039435,1.8200947926759985,0.01922143332194537,1.458276424001277,0.0
315,16.942493866663426,16.181774933317985,6.191176633311746,1.8200947926759985,0.010130166658200324,1.458276424001277,0.0
320,16.866247066645883,20.036260900010046,6.5848728333367035,1.8200947926759985,0.009309400028238693,1.458276424001277,0.0
325,13.776661066648861,14.967079700048393,6.784170866633455,1.8200947926759985,0.012557766594303152,1.458276424001277,0.0
330,27.413508533344913,16.260727900002774,6.149322899989784,1.8200947926759985,0.01463820001419928,1.458276424001277,0.0
335,16.990764733326312,14.79487979998036,6.776809333319155,1.8200947926759985,0.011403600025611619,1.458276424001277,0.0
340,18.192786233344425,15.206495133345015,5.713525000067118,1.8200947926759985,0.01745726668741554,1.458276424001277,0.0
345,15.654014466679655,16.545160699946184,6.557094166676204,1.8200947926759985,0.016105499972288346,1.458276424001277,0.0
350,15.994324200049354,13.608907599933445,7.215167099959217,1.8200947926759985,0.013097066665068269,1.458276424001277,0.0
355,21.220972833340056,19.83656849999291,6.7159781000033645,0.9013092919990185,0.01269550008388857,1.30561014466532,0.0
360,16.179877566639334,13.112363200013837,7.007936733270374,0.9013092919990185,0.014842500017645458,1.30561014466532,0.0
365,18.55853883336143,15.808505599969067,7.369080199976452,0.9013092919990185,0.015036899984503785,1.30561014466532,0.0
370,18.000561033336755,17.849675899992388,6.219235899974592,0.9013092919990185,0.019668599939905107,1.30561014466532,0.0
375,33.13785930001177,13.1579016999652,5.9627933000059175,0.9013092919990185,0.011412566644139588,1.30561014466532,0.0
380,18.632517666672356,12.723673733339334,6.022716466647883,0.9013092919990185,0.01088410010561347,1.30561014466532,0.0
385,17.832050066635322,13.67341203339553,5.309290366635348,0.9013092919990185,0.014554833294823766,1.30561014466532,0.0
390,20.47954906670687,11.426554733382849,5.976287266705185,0.9013092919990185,0.017267033302535612,1.30561014466532,0.0
395,19.739861166647945,16.10541150001033,5.723538633358355,0.9013092919990185,0.017988033282250626,1.30561014466532,0.0
400,15.200216733307267,16.143378866642404,5.623177566643183,0.9013092919990185,0.010974399978304442,1.30561014466532,0.0
405,19.475032566697337,19.10169983333132,5.311799766689849,1.1010863600034935,0.009961566693770388,1.2718458506635593,0.0
410,16.286112866674863,14.379828133387491,6.052058533299714,1.1010863600034935,0.013089100015349686,1.2718458506635593,0.0
415,19.520611933316104,19.586995900026523,5.782543233324152,1.1010863600034935,0.014651200035586953,1.2718458506635593,0.0
420,21.072294733370654,21.48298576668215,5.5600938333276035,1.1010863600034935,0.01493636662295709,1.2718458506635593,0.0
425,20.265728466639604,18.552779033353243,6.0188554000342265,1.1010863600034935,0.010833400068795148,1.2718458506635593,0.0
430,21.900542433296025,16.584482233350474,5.599092199971589,1.1010863600034935,0.011681500007398427,1.2718458506635593,0.0
435,18.121542133313294,15.264492199989036,6.592239566651794,1.1010863600034935,0.012174799960727492,1.2718458506635593,0.0
440,23.89210549998097,18.39239769995523,5.88011033332441,1.1010863600034935,0.01684590002212379,1.2718458506635593,0.0
445,36.468972066611364,19.42733206662039,6.606806366704404,1.1010863600034935,0.019080466668431956,1.2718458506635593,0.0
450,22.689396433338214,24.02918439998757,7.259534099992986,1.1010863600034935,0.013987933324339489,1.2718458506635593,0.0
455,22.20213503332343,20.34301596666531,6.929696199988636,1.5456869839962415,0.020592333399690688,0.9230878573267925,0.0
460,24.070577800002255,16.786599899991415,5.270698599983007,1.5456869839962415,0.010331266676075757,0.9230878573267925,0.0
465,26.984346633350167,18.332898933362838,4.867370566663642,1.5456869839962415,0.02334733330644667,0.9230878573267925,0.0
470,22.432044033310376,23.14519140004025,5.726829533348791,1.5456869839962415,0.022856466627369326,0.9230878573267925,0.0
475,36.50488446664531,21.421291366646376,5.669268500021038,1.5456869839962415,0.01111413340549916,0.9230878573267925,0.0
480,23.66930536661918,18.698475766655367,5.164976100010487,1.5456869839962415,0.013517866609618068,0.9230878573267925,0.0
485,23.549584133317694,12.010603066689024,5.774547400030618,1.5456869839962415,0.013135399979849657,0.9230878573267925,0.0
490,26.335284366621636,20.376383300016943,7.2124466000047205,1.5456869839962415,0.014068700062731901,0.9230878573267925,0.0
495,24.857860533326555,20.181748433349032,6.392932866583578,1.5456869839962415,0.026373599966367085,0.9230878573267925,0.0
500,25.41903559999385,26.85709293334124,7.762667633321446,1.5456869839962415,0.0233445333239312,0.9230878573267925,0.0
