eval_axis,EHVI,ParEGO,MESMO,NSGA2,MOEAD,SMSEMOA,EGBO,RandomSearch
340,1.2099589018117511,1.2099971278644686,1.1067437856800648,1.0372274210769683,1.0913044326492718,1.0038644682441429,1.2099994762999378,0.9671724663371588
345,1.2099589018117511,1.2099971278644686,1.1067437856800648,1.0372274210769683,1.0941418446240854,1.0038644682441429,1.2099994762999378,0.9671724663371593
350,1.209958901811752,1.2099971278644686,1.1067437856800648,1.0372278678790314,1.0944959060267567,1.0038644682441429,1.209999476299938,0.9671724663371593
355,1.209958901811752,1.2099971278644686,1.1067437856800648,1.0403215673044366,1.0951386020295388,1.0189559924476466,1.209999476299938,0.9671724663371593
360,1.209958901811752,1.2099971278644686,1.1067437856800648,1.045134167966192,1.0955399862893613,1.018978812637983,1.2099997769046988,0.9671724663371593
365,1.209960062776438,1.2099971278644686,1.106743785680065,1.0451462004542351,1.1021637486360376,1.018978812637983,1.2099997769047002,0.9671724663371598
370,1.209960062776438,1.2099971278644686,1.1067437856800653,1.0521141496773276,1.1028125514353204,1.0189788126379835,1.2099997769047002,0.9671724663371598
375,1.209960062776438,1.2099971283497561,1.1067437856800655,1.0521141496773285,1.1028125514353204,1.0189788126379835,1.2099997769047002,0.9671724663371598
380,1.2099600627764382,1.2099971283497561,1.1067437856800655,1.0521141496773285,1.1034912653027067,1.0240283626379816,1.2099997769047002,0.9671724663371598
385,1.2099600627764382,1.2099971283497561,1.1067437856800655,1.0619089575182634,1.1050014160812716,1.0240459579973713,1.2099997769047002,0.9671724663371598
390,1.2099600627764382,1.2099971283497561,1.1067437856800655,1.0619089575182636,1.1050014160812716,1.0240459579973713,1.2099997769047002,0.9671724663371598
395,1.2099600627764382,1.2099971283497561,1.1067437856800655,1.0619089575182636,1.1067150132150185,1.0240459579973713,1.2099997769047006,0.9671724663371598
400,1.2099600627764382,1.2099971283497561,1.1067437856800655,1.0619089575182636,1.1067992957406332,1.0240459579973713,1.2099997769047006,0.9671724663371598
405,1.2099600627764382,1.2099971283497561,1.1067437856800655,1.0620224331413661,1.1105811006655089,1.024045957997372,1.209999776904701,0.9671724663371598
410,1.2099600627764382,1.2099971283497561,1.1067437856800668,1.0620224331413661,1.1105961316139994,1.024045957997372,1.209999776904701,0.9671724663371598
415,1.2099600627764382,1.2099971283497561,1.1103248915205934,1.0620224331413661,1.1133532504123245,1.024045957997372,1.2099997769047013,0.9671724663371598
420,1.2099600627764382,1.2099971283497561,1.1103248915205934,1.0620224331413661,1.1157698446858604,1.024045957997372,1.2099997769047013,0.96717246633716
425,1.2099600627764382,1.2099971283497561,1.1103248915205934,1.0621242731298415,1.1157698535087779,1.0240958322480003,1.2099997777710263,0.96717246633716
430,1.2099600627764382,1.2099971283497561,1.1103248915205934,1.062124273129842,1.1201297803350003,1.0240958322480005,1.2099997777710263,0.96717246633716
435,1.2099600627764382,1.2099971283497561,1.1122456168927612,1.062124273129842,1.120129801053597,1.0248607611639375,1.2099997777710263,0.96717246633716
440,1.2099600627764382,1.2099971283497564,1.1122456168927612,1.0621242731298437,1.1213850422796763,1.024860761163938,1.2099997862290903,0.96717246633716
445,1.2099600627764382,1.2099971283497564,1.1122456168927612,1.062416007906566,1.1216227016820424,1.0303786741851244,1.2099997862290903,0.96717246633716
450,1.2099600627764382,1.2099971283497564,1.1122456168927628,1.062416007906566,1.121622701682045,1.0313802719358545,1.2099997863245684,0.96717246633716
455,1.2099600627764382,1.2099971283497564,1.1122456168927628,1.0668470527906022,1.123870680307346,1.0313802719358545,1.20999979131045,0.96717246633716
460,1.2099600627764382,1.2099971283497564,1.1122456168927628,1.0668539151553942,1.1242876585909631,1.0366998719358556,1.2099997930886504,0.96717246633716
465,1.2099600627764382,1.2099971283497564,1.1122456168927628,1.0670080454813873,1.1247131098557812,1.0366998719358556,1.2099997930886504,0.96717246633716
470,1.2099600627764382,1.2099971283497564,1.1122456168927628,1.0670114254326348,1.1251169042183646,1.0366998719358558,1.2099997930886504,0.9671724663371601
475,1.2099600627764382,1.2099971283497564,1.1122456168927628,1.0670114254326348,1.125116904218365,1.0379430743813254,1.2099997930886504,0.9671724663371601
480,1.2099600627764386,1.2099971283497564,1.112245616892763,1.067011425432635,1.125451590654839,1.0379430743813263,1.2099997930886504,0.9671724663371601
485,1.2099600627764389,1.2099971283497564,1.112245616892763,1.0670123301596848,1.125451590654839,1.0379430743813263,1.2099997930886504,0.9671724663371601
490,1.2099600627764389,1.2099971283497564,1.112245616892763,1.0670123301596848,1.1283053117753667,1.0396541809086217,1.2099997930886504,0.9671724663371601
495,1.2099600627764389,1.2099971283497564,1.112245616892763,1.0670123301596848,1.128305608590029,1.0525717224454612,1.2099997930886504,0.9671724663371601
500,1.2099600627764389,1.2099971283497564,1.11531047568002,1.0791190653023464,1.1283056237206366,1.0525717224454612,1.2099997930886504,0.9671724663371601
