objectives;variables;evaluation_time;algorithm_time
[2.8269591840000134, -2.4999999999988463];[-5.0, -5.0, -5.0, 0.5941437341755211, -5.0, -5.0, 3.0835870900908553, -5.0, -5.0, -5.0];1.739.175.085.000.460;8.834.369.499.993.040
[2.7887626080000114, -2.0377452];[-3.5347249086465466, -5.0, -5.0, 2.4388314303691407, -5.0, -4.4751640047294785, -5.0, -5.0, -5.0, -2.519567089376267];19.155.591.690.004.800;8.574.937.199.999.110
[2.9330789040000056, -2.4999999999698437];[-0.41722982137767506, -5.0, -5.0, -3.850503826079164, -5.0, 0.3582498586982217, -5.0, -5.0, -5.0, 2.5001828196784404];17.367.604.200.000.600;8.574.937.199.999.110
[2.6472690000000076, -2.499999999998567];[-5.0, -5.0, -5.0, -2.9463165223961636, -5.0, -1.6949493179882182, -5.0, -5.0, -5.0, -5.0];18.174.994.650.000.000;8.574.937.199.999.110
[2.8484969760000087, -2.47103989];[4.969092462857251, -5.0, -5.0, -0.2942415298511536, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];1.823.430.269.000.230;8.574.937.199.999.110
[2.8473344640000118, 2.1301680000000003];[-4.610222156534749, -5.0, -5.0, 1.113500586525067, -5.0, 3.117763916525835, -5.0, -5.0, -5.0, -5.0];17.452.266.670.000.900;8.574.937.199.999.110
[2.7781088400000016, -2.4999999999982125];[-4.876648971420518, -5.0, -5.0, -3.1651939034198717, -5.0, -4.968018515719759, -5.0, -5.0, -5.0, 4.4260071821727855];17.867.599.220.003.400;11.374.006.400.001.200
[2.9488302720000052, -2.499999999999247];[-2.4089911801023822, -5.0, -0.2538189408158207, -5.0, -5.0, -0.6239913580496417, -1.2524171406502749, -5.0, -5.0, -1.140852942749075];1.730.280.004.000.520;11.374.006.400.001.200
[2.9863503360000045, -1.9412909];[-5.0, -5.0, -5.0, 5.0, -5.0, 2.773229808948976, -5.0, -5.0, -5.0, -1.7162968623055979];17.791.260.400.001.100;11.374.006.400.001.200
[2.879934912000004, -2.4999999999978275];[0.26381625684882515, -5.0, -4.387122248635471, -2.9323906788839573, -5.0, 3.186014216700146, -5.0, -5.0, -5.0, -5.0];17.385.638.939.996.700;11.374.006.400.001.200
[2.610018504, -2.48090721];[-2.6390997712951876, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.726716208069627];17.825.045.789.999.400;11.374.006.400.001.200
[2.705386824000011, 1.6563480000000004];[-5.0, -5.0, -5.0, -3.4872462800424846, -5.0, -1.5181617064708988, -1.9452036489527194, -5.0, -5.0, -5.0];17.170.078.519.999.500;10.244.092.800.014.100
[2.9415424320000105, -2.498088788];[4.9648770974181105, -5.0, -5.0, -3.711756304125694, -5.0, -0.7860435610571717, -2.3318396871439133, -5.0, -5.0, -4.152719903353249];17.065.555.849.997.300;10.244.092.800.014.100
[2.820116520000013, -2.4999999999992206];[-5.0, -5.0, -5.0, -2.1478333606323523, -5.0, -1.0467984263297083, 1.5555729501174902, -5.0, -5.0, -5.0];17.005.572.119.995.400;10.244.092.800.014.100
