eval_axis,EGBO,EHVI,ParEGO,MESMO,NSGA2,SMSEMOA,RandomSearch
225,37.42909979998755,22.2611120333119,25.631654900071833,7.490801733333076,3.2461377553319704,2.9334522366609144,0.0014472883330502856
230,81.14826103334781,21.465804666649394,26.120170899977285,11.087098666666558,3.2461377553319704,2.9334522366609144,0.0014472883330502856
235,50.02989863336552,24.993282133344717,25.269182400001835,7.673608500001137,3.2461377553319704,2.9334522366609144,0.0014472883330502856
240,82.4811499666345,20.001041266717948,27.04422570000558,7.787622900000618,3.2461377553319704,2.9334522366609144,0.0014472883330502856
245,67.38850580000629,16.868197233319126,26.10239376667111,7.649608500000492,3.2461377553319704,2.9334522366609144,0.0014472883330502856
250,57.257114633374535,16.392676699984197,28.97520773333963,8.087138266667656,3.2461377553319704,2.9334522366609144,0.0014472883330502856
255,51.65752426666828,22.3792169666461,24.548602633333456,14.195482066666955,3.5832767019956413,3.3927724520000613,0.0014472883330502856
260,62.82923343335278,21.821501566718023,25.228904066684965,10.205360500000097,3.5832767019956413,3.3927724520000613,0.0014472883330502856
265,56.28042756669068,25.09325660004591,29.545103933351736,9.711593166665503,3.5832767019956413,3.3927724520000613,0.0014472883330502856
270,66.66705193331775,21.52802736661397,23.047904066663857,9.283022866666215,3.5832767019956413,3.3927724520000613,0.0014472883330502856
275,80.04944149998482,23.46250006670986,26.639511733315885,11.23086813333551,3.5832767019956413,3.3927724520000613,0.0014472883330502856
280,76.57915530000658,16.116436566672444,26.017812833345186,16.3593450999997,3.5832767019956413,3.3927724520000613,0.0014472883330502856
285,88.60324063334458,19.985386300017126,25.28355416667182,15.230288533333805,3.5832767019956413,3.3927724520000613,0.0014472883330502856
290,90.49767290005305,23.042284599971026,29.074183899986867,12.460437566666466,3.5832767019956413,3.3927724520000613,0.0014472883330502856
295,88.16842633330573,19.849737166659907,26.91817143334386,10.157305399999435,3.5832767019956413,3.3927724520000613,0.0014472883330502856
300,84.4779148666421,18.558662833277292,26.8407927666946,10.726398666668198,3.5832767019956413,3.3927724520000613,0.0014472883330502856
305,90.14993246664137,19.489839566658095,29.986174466709297,10.033296833335044,2.7201020186631184,2.3562585946692463,0.0014472883330502856
310,100.88188749998032,15.788651500013657,23.44406940000287,9.382623933334495,2.7201020186631184,2.3562585946692463,0.0014472883330502856
315,90.32578703330364,17.68095516661803,27.337996099959128,9.168805533332488,2.7201020186631184,2.3562585946692463,0.0014472883330502856
320,76.8870941333007,19.094824566680472,28.27418063332637,8.93085899999763,2.7201020186631184,2.3562585946692463,0.0014472883330502856
325,70.55354646667062,21.93507706668849,25.890234633310076,8.684249166665419,2.7201020186631184,2.3562585946692463,0.0014472883330502856
330,96.30019663336377,17.721507400041446,29.76728156659131,9.229347966667774,2.7201020186631184,2.3562585946692463,0.0014472883330502856
335,67.33935523331941,22.655802299967036,24.404388399988722,10.203259766665118,2.7201020186631184,2.3562585946692463,0.0014472883330502856
340,109.53605650000584,24.00256503330699,30.50638286668497,11.382066599999234,2.7201020186631184,2.3562585946692463,0.0014472883330502856
345,72.80331683333497,22.029671299950376,28.454713833363105,12.819518000000244,2.7201020186631184,2.3562585946692463,0.0014472883330502856
350,83.62660239997786,15.705766299952908,26.82833236665465,9.405673500002498,2.7201020186631184,2.3562585946692463,0.0014472883330502856
355,70.21786193336204,25.019617333329126,27.05248220001037,10.815746566667562,1.2512937566626334,1.048658368661223,0.0014472883330502856
360,75.70485910001055,20.453722166654188,29.249068933306262,15.168886266668778,1.2512937566626334,1.048658368661223,0.0014472883330502856
365,54.79014366659491,20.250949466678623,26.7836553666275,10.05139383333335,1.2512937566626334,1.048658368661223,0.0014472883330502856
370,71.19134973338805,19.762349766659707,27.36963946663309,12.015290033333562,1.2512937566626334,1.048658368661223,0.0014472883330502856
375,72.784640866681,21.278059599979315,29.89137019996997,10.20190673333309,1.2512937566626334,1.048658368661223,0.0014472883330502856
380,88.09461936665078,18.72314966667909,27.009833066685434,18.313481366666263,1.2512937566626334,1.048658368661223,0.0014472883330502856
385,107.9520399333366,22.528319333311327,30.495772066681337,14.522950766665113,1.2512937566626334,1.048658368661223,0.0014472883330502856
390,87.95601970000037,18.78638009998637,31.478754466671187,11.603577033333446,1.2512937566626334,1.048658368661223,0.0014472883330502856
395,60.83901770001588,22.794581066642422,29.089489999925718,12.256949333333372,1.2512937566626334,1.048658368661223,0.0014472883330502856
400,80.68924139998853,23.38996016664896,28.43441240004419,16.47785616666867,1.2512937566626334,1.048658368661223,0.0014472883330502856
405,71.05256096669473,24.02981556666782,27.867634733285133,13.701083966666678,1.2833989226728828,1.887308468002205,0.0014472883330502856
410,88.33834206666022,25.313456299966976,31.102152199988875,9.688659100000828,1.2833989226728828,1.887308468002205,0.0014472883330502856
415,85.1657284333293,17.769744866644032,28.57956753333565,16.15111689999988,1.2833989226728828,1.887308468002205,0.0014472883330502856
420,85.92451706668362,22.800345866688684,32.128287166667484,15.195639933332737,1.2833989226728828,1.887308468002205,0.0014472883330502856
425,69.88359059998766,20.666700333356857,29.65521796660808,11.99200246666563,1.2833989226728828,1.887308468002205,0.0014472883330502856
430,72.40565140002097,18.37640326668043,29.605868566664867,18.380563433333617,1.2833989226728828,1.887308468002205,0.0014472883330502856
435,88.04013146669604,17.77094896667404,30.182626199986164,20.097332833332377,1.2833989226728828,1.887308468002205,0.0014472883330502856
