eval_axis,EHVI,ParEGO,MESMO,NSGA2,SMSEMOA,EGBO,RandomSearch
415,0.654266258527602,1.06072026158425,0.789267529824213,0.4535431184094976,0.4242831409307295,1.0185511644553835,0.46268693902723407
420,0.654266258527602,1.06072026158425,0.789267529824213,0.46105903986978997,0.4595483947938466,1.0185511644553835,0.46268693902723407
425,0.654266258527602,1.06072026158425,0.789267529824213,0.4612802384396695,0.4595483947938466,1.0185511644553835,0.46268693902723407
430,0.654266258527602,1.06072026158425,0.789267529824213,0.4612802384396695,0.4595483947938466,1.0185511644553835,0.46268693902723407
435,0.6560485672111364,1.06072026158425,0.789267529824213,0.4612802384396695,0.45954853705687754,1.0185511644553835,0.46268693902723407
440,0.6560485672111364,1.061329746834552,0.789267529824213,0.4612802384396695,0.4595486546850109,1.0237208646291058,0.46268693902723407
445,0.6560485672111364,1.061329746834552,0.789267529824213,0.46159174260522157,0.45954889153667283,1.0237208646291058,0.46268693902723407
450,0.6560485672111364,1.061329746834552,0.789267529824213,0.46159174260522157,0.45954889153667283,1.0237208646291058,0.46268693902723407
455,0.6560485672111364,1.061329746834552,0.789267529824213,0.4624854851153346,0.4628397831517574,1.0237208646291058,0.46268693902723407
460,0.6560485672111364,1.061329746834552,0.789267529824213,0.4638692023137116,0.4628418197632343,1.0237208646291058,0.46268693902723407
465,0.6560485672111364,1.061329746834552,0.789267529824213,0.46387399181171984,0.46284257630491465,1.0237208646291058,0.46268693902723407
470,0.6560485672111364,1.0681066353852093,0.789267529824213,0.4638767339816796,0.4628436254072916,1.0237208646291058,0.46268693902723407
475,0.6560485672111364,1.0681066353852093,0.789267529824213,0.46388325525822127,0.4655015340009483,1.041685195722163,0.46268693902723407
480,0.6560485672111364,1.0681066353852093,0.789267529824213,0.46528756581283676,0.46550299892912106,1.041685195722163,0.46268693902723407
485,0.6560485672111364,1.0733834076497029,0.789267529824213,0.46528756581283676,0.4658120794141136,1.041685195722163,0.46268693902723407
490,0.6560485672111364,1.0733834076497029,0.789267529824213,0.46657887481112503,0.4759952976635742,1.041685195722163,0.46268693902723407
495,0.6560485672111364,1.0733834076497029,0.789267529824213,0.46688652838219086,0.476313181572426,1.041685195722163,0.46268693902723407
500,0.6560485672111364,1.0733834076497029,0.789267529824213,0.4684840636822407,0.47638375990639514,1.041685195722163,0.46268693902723407
