eval_axis,ParEGO,NSGA2,SMSEMOA,EGBO
810,0.048113682882882904,0.0004289727477477521,0.0004289727477477521,0.0027451855855855915
815,0.048113682882882904,0.0004289727477477521,0.0004289727477477521,0.0027451855855855915
820,0.048113682882882904,0.0004289727477477521,0.0004289727477477521,0.0027451855855855915
825,0.048113682882882904,0.0004289727477477521,0.0004289727477477521,0.0027451855855855915
830,0.048113682882882904,0.0006128108108108191,0.0006128108108108191,0.0027451855855855915
835,0.048113682882882904,0.0006128108108108191,0.0006128108108108191,0.0027451855855855915
840,0.048113682882882904,0.0006128108108108191,0.0006128108108108191,0.0027451855855855915
845,0.048113682882882904,0.0006128108108108191,0.0006128108108108191,0.0027451855855855915
850,0.048113682882882904,0.0006128108108108191,0.0006128108108108191,0.0027451855855855915
855,0.048113682882882904,0.0006128108108108191,0.0006128108108108191,0.0027451855855855915
860,0.048113682882882904,0.0006128108108108191,0.0006128108108108191,0.00785322270270271
865,0.048113682882882904,0.0006128108108108191,0.0006128108108108191,0.00785322270270271
870,0.048113682882882904,0.0006128108108108191,0.0006128108108108191,0.00785322270270271
875,0.048113682882882904,0.0006128108108108191,0.0006128108108108191,0.00785322270270271
880,0.04890909463963966,0.0007816735135135178,0.0007816735135135178,0.00785322270270271
885,0.04890909463963966,0.0007816735135135178,0.0007816735135135178,0.00785322270270271
890,0.04890909463963966,0.0007816735135135178,0.0007816735135135178,0.00785322270270271
895,0.048923078963963994,0.0007816735135135178,0.0007816735135135178,0.00785322270270271
900,0.048923078963963994,0.0007816735135135178,0.0007816735135135178,0.00785322270270271
905,0.048923078963963994,0.0007816735135135178,0.0007816735135135178,0.024013658558558564
910,0.048923078963963994,0.0007816735135135178,0.0007816735135135178,0.024013658558558564
915,0.048923078963963994,0.0013829052252252313,0.0013829052252252313,0.024013658558558564
920,0.048923078963963994,0.0015464188288288334,0.0015464188288288334,0.024013658558558564
925,0.048923078963963994,0.0015464188288288334,0.0015464188288288334,0.024013658558558564
930,0.048923078963963994,0.0015464188288288334,0.0015464188288288334,0.024013658558558564
935,0.048923078963963994,0.0015464188288288334,0.0015464188288288334,0.024013658558558564
940,0.048923078963963994,0.0015464188288288334,0.0015464188288288334,0.024013658558558564
945,0.049908379954954986,0.0015464188288288334,0.0015464188288288334,0.024013658558558564
950,0.05085159157657663,0.0015464188288288334,0.0015464188288288334,0.024013658558558564
955,0.05085159157657663,0.0015782637387387417,0.0015464188288288334,0.024013658558558564
960,0.05085159157657663,0.0015782637387387417,0.0015464188288288334,0.024013658558558564
965,0.05085159157657663,0.0015782637387387417,0.0015464188288288334,0.024013658558558564
970,0.05085159157657663,0.0016082580180180222,0.0015602653603603658,0.024013658558558564
975,0.05182520018018024,0.001616922882882889,0.001585015720720729,0.024013658558558564
980,0.053415934594594656,0.001616922882882889,0.001585015720720729,0.024013658558558564
985,0.053415934594594656,0.0016419638738738786,0.001585015720720729,0.024013658558558564
990,0.05447321959459466,0.0016419638738738786,0.001585015720720729,0.025443319369369378
995,0.05447321959459466,0.001715042927927934,0.0017332071171171231,0.025443319369369378
1000,0.054602410720720786,0.0017688871621621676,0.0017332071171171231,0.025443319369369378
1005,0.054602410720720786,0.0018687398198198235,0.0017704658108108156,0.025443319369369378
1010,0.05666126459459466,0.0018687398198198235,0.0017704658108108156,0.025443319369369378
1015,0.05666126459459466,0.0020187066216216295,0.0017704658108108156,0.025443319369369378
1020,0.05829218846846853,0.0020187066216216295,0.0017704658108108156,0.025443319369369378
1025,0.05829218846846853,0.002102986486486489,0.0018547456756756748,0.025443319369369378
1030,0.05829218846846853,0.002220510000000002,0.0019722691891891886,0.025443319369369378
1035,0.05829218846846853,0.002400771981981987,0.0021213222522522535,0.025443319369369378
1040,0.05829218846846853,0.002400771981981987,0.0021213222522522535,0.025443319369369378
1045,0.05829218846846853,0.002400771981981987,0.0021213222522522535,0.025443319369369378
1050,0.05829218846846853,0.002400771981981987,0.0021704681531531556,0.025443319369369378
