objectives;is_feasible;variables;evaluation_time
[3.5697767040000077, -2.4999999999995333];True;[4.43517057243662, -3.9389579337787683, -4.3465088774489535, -1.2089301971236441, -1.1959631800777784, 4.5619619683752575, 3.348585819129843, -1.2312811864537077, -1.2319168582477769, -1.1247264874986405];161.92095529998187
[3.413919744000002, -2.4999999999459077];True;[0.1145307904345696, -4.7478668823148595, 0.6144306280600738, 3.2143610687086106, -2.729908683462614, -0.6790623663703856, -1.1261675254572099, -1.0345564163606547, -3.704083106399354, 0.9301565802927136];169.9546655000886
[3.474422640000002, -2.4999999999794347];True;[-4.18256922966565, 0.8360885164761349, 1.4945707309580358, 0.47982604993514144, -1.9973945157365014, 3.3113988755439987, -2.3095327358662177, -3.2674091040653073, -2.639101771335727, 1.9270179664688944];167.2821971999947
[3.776100984000011, -2.4999999999930362];True;[4.760191316936881, -0.3849787470780752, -4.981083080473901, -1.8393843309482385, 4.938968417327297, 1.8422735725095603, 4.299368167708128, -3.5726519324546038, 0.11978971306127217, 2.436992915952958];162.89661519997753
[3.474604944000009, -2.4999999999988676];True;[-1.9647289952984792, 1.039913167380031, -1.436740321557263, -4.083529946244017, 4.6723517738965, -0.5689114457262843, -0.6702643732800837, -0.10740292679269281, -0.7346514000123658, -2.4846869022091633];168.94630970002618
[3.8060556480000036, -2.499999999998513];True;[4.0872074864111205, -0.974948526600893, -1.4195783178769994, 0.7556921746212817, 4.994919883916035, 1.0262988008416247, -0.221561487997878, 2.366735131744841, 0.0777321976510068, -1.6862103465380072];167.43920909997541
[3.9568184640000057, -2.499999999989119];True;[3.5621200745518404, 0.38948422942753247, 2.3361019778806984, 4.003626490066797, -1.260740322217968, 3.7054841638643747, 3.5392219767918895, -1.863623781722369, -1.7764979123204983, 3.350899683450491];164.12423740001395
[3.7411223760000083, -1.8031519];True;[4.744028462641229, -0.5843054370364467, 3.41087566825189, -0.7098948355173746, -0.09850361332192037, -0.7255473082894905, -4.5553796257672365, 4.667431621329319, 1.4010073375111105, -1.5496036173199332];166.33552089997102
[3.7737146160000123, -2.49999999999894];True;[1.5100751267466626, -0.14183028567033595, 1.5254346963924723, 0.6066548330336659, 4.324556230426165, -0.9626934642774163, 3.044795975692919, -0.7835722097924149, -4.212300372177708, 2.5978834610531116];171.43672829994466
[3.3483036960000048, -2.499999999981292];True;[2.7930634650094106, -1.351628719091261, -4.4073016450651625, -0.15893320496007313, -4.492579409723324, -3.1361098206579463, 2.307026774740284, 3.4940454254580615, -3.9093378472545295, -3.324194378206098];167.92704870004673
[3.722732352000005, -2.40588094];True;[-3.640377508882265, 2.7828865969383205, -0.2796922392526371, 3.274010755304367, -3.958078493813254, 4.395636098574091, 0.9229060108650415, -0.2644502621205538, 4.7328939210738135, -2.8170266817693443];167.9407453999156
[3.82298011200001, -2.4999999999990856];True;[2.0832618984557483, -1.0833722958406469, 3.772872810165598, 2.707811284886202, -3.730415316332362, 3.7624276941985233, -3.824647254972444, 3.905194291379729, 1.7213239061513717, 0.47533935546969364];169.84669589996338
[3.6588726000000014, -2.499999999997772];True;[3.476303668621508, -0.8098790992880067, 2.520133961803767, 4.924571267840852, -4.365817645657608, -2.8465550180788535, 2.684991416476338, 3.546282741633405, -3.1156082724354195, -3.8221782171816754];175.0142009999836
[3.82710096000001, -1.7470225];True;[0.7067675553840118, 1.5014913243007832, 3.677408031112293, -1.2449830664090156, 0.0757265524002868, 0.9190768450846942, -3.607838759873866, 1.0216799512816719, 2.141868015020374, 4.789429043241244];170.17687480000313
[3.7480499280000137, -2.4999999999928777];True;[4.291782414470196, -0.8905899741484715, -4.305679653096469, 2.2671181159606206, -1.428088148143459, 3.594218365762389, 1.9612117373056872, -0.9957711639022175, -1.960942205680701, 3.787585142778422];173.4392706999788
[3.432734856000014, -2.499999999998838];True;[2.973064122306882, -1.5707011336003052, -1.8146619563943989, -3.7581073367314377, 4.352072006201226, -2.234460812028114, 1.5233041351506582, -1.056772968549767, -4.053359461554351, -2.6374635872372023];157.93943379994016
