objectives;is_feasible;variables;evaluation_time;algorithm_time
[3.586343040000009, -2.49999999995802];True;[1.930210692158881, 4.584981537531442, 2.154145293392485, -2.0609680008822084, -2.90514981206474, -1.4422842549931003, -2.5265817335512297, -3.649589089087546, -1.472039855787619, 4.221663336900823];157.83749679999892;
[3.2711018400000125, -2.499999999995758];True;[3.367798462598424, -4.689469805452347, -4.709794475604461, 0.2591959994569635, 0.7224635064851377, -0.865267234060183, 1.0141545621009262, -4.618059158444297, -2.9299090534422345, -3.311226679377679];162.14222870010417;
[3.460604472000001, -2.3436737];True;[-2.435479873383052, -2.7879124427183877, 0.3727856620225314, 3.7994650450574134, -0.48807503310459666, -4.435293137888921, -3.6554604854824504, 4.914998369512608, 2.727623326510721, -4.99951161896231];164.22287039994262;
[3.4750499040000076, -2.3138418];True;[1.4897106001279692, -4.056591982482387, -3.199266971360686, -1.4284153210296013, -3.0605555424205475, -1.8438219305003178, -1.1948414424631295, 4.875914131223645, -1.6392823671737777, 3.7391144076823952];158.41888610005844;
[3.857710968000014, -2.4999999999998055];True;[4.170416667448263, -3.209610929272051, -0.9493342683656492, 3.1985270389534293, -1.501659017731881, 4.197934758912986, 1.98633627500009, 1.5935074380487722, 2.596374732539731, -0.6847792529816843];151.76389820000622;
[3.678807456000008, -1.9857748];True;[-2.016040576443332, 3.7495672200993084, 2.1191134498689648, -2.0350868846692682, -1.1655723877581439, 4.838278180491672, 0.6059344506893138, -0.7055019406198344, 2.5147161061840784, -4.790231766063772];157.0442752999952;
[3.7209676320000136, -2.496157176];True;[-3.8848486244513234, -4.133668671146924, -4.341369904057874, 4.480812443441678, 4.4729260500816945, 3.393084648668129, 0.11626170998524898, 3.2520246595492353, -1.9388041210179061, 3.650596105046427];148.9915287999902;
[2.8539844560000054, -2.499999999991916];True;[-4.548365604110513, -5.0, -5.0, -1.3754220601501572, -1.4630140874726467, 2.04760152322521, -5.0, -5.0, -4.731885859927826, -5.0];164.661829699995;5.216904400032945
[2.614288392000008, -2.45679731];True;[-5.0, -5.0, -5.0, -4.323410254939755, -3.288767993387743, -3.55596005236173, -5.0, -5.0, -5.0, -5.0];175.6538761999691;5.216904400032945
[2.5315200000000093, -2.47531935];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];164.62902409990784;5.216904400032945
[2.6679049920000084, -2.4999999999955236];True;[-3.231486472105395, -5.0, -5.0, -1.8132568986971425, -5.0, -5.0, -5.0, -5.0, -3.641120027055397, -5.0];164.76282830000855;5.216904400032945
[3.0467739600000128, -1.028878];True;[0.1462421899586719, -5.0, -5.0, -2.222578795504431, -0.9205038613728798, 0.34600363830211034, -5.0, -2.7951927755331125, -0.6996518414502875, -5.0];167.23205529991537;5.216904400032945
[2.5315200000000093, -2.47531935];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];170.05843970004935;3.987254999927245
[2.543347296000004, -0.6820170000000001];True;[-5.0, -5.0, -5.0, -5.0, -4.452457726700996, -5.0, -5.0, -5.0, -5.0, -5.0];166.9131809999235;3.987254999927245
[2.5315200000000093, -2.47531935];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];169.15086309995968;3.987254999927245
[2.5342392240000065, -0.09911599999999998];True;[-5.0, -5.0, -5.0, -5.0, -4.874113922929679, -5.0, -5.0, -5.0, -5.0, -5.0];166.32401760003995;3.987254999927245
[2.5457388480000094, -2.42865042];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -4.341719192467439, -5.0, -5.0, -5.0, -5.0];165.03021769993939;3.987254999927245
[2.7115912080000055, -1.090334];True;[-2.6431620243574088, -3.6405898195107, -4.881614265277643, -4.176054822273026, -4.3198308809747825, -5.0, -4.631027609161574, -4.224498381335771, -4.863983396807084, -3.2826103043022687];170.6424036999233;7.389316200045869
[2.6280728640000057, -1.716215];True;[-5.0, -5.0, -5.0, -0.5299580866100069, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];173.89302660000976;7.389316200045869
[2.71258934400001, -1.259773];True;[-5.0, -5.0, -5.0, 3.3828466352672386, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];168.74195250007324;7.389316200045869
[3.0454094880000007, -2.4999999999990217];True;[-3.787310912535278, 1.9274335499603925, -5.0, 4.372651128041037, -5.0, -5.0, -4.883579370166102, -5.0, -5.0, 1.1619616236547134];166.82623170001898;7.389316200045869
[2.700606528000013, -2.47056068];True;[-5.0, -1.7702736776485803, -5.0, -5.0, -5.0, -3.3080106599627594, -4.999999917040875, -2.0936321460634795, -5.0, -4.999999917040875];168.10778419999406;7.389316200045869
[3.179520000000005, -1.7305807];True;[-5.0, 5.0, -5.0, 5.0, -5.0, 5.0, -5.0, -5.0, -5.0, -5.0];167.04325559991412;13.07192560005933
[2.8849428720000017, -2.4999999999930953];True;[-3.548993263077739, 5.0, -1.9527416699040678, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.136085668195052];177.7366067999974;13.07192560005933
[2.5968816000000032, -2.491819982];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -1.9739934171680842, -5.0, -5.0, -5.0, -5.0];165.08921590005048;13.07192560005933
[3.843507024000006, -2.4999999999992997];True;[5.0, 2.5423029330397053, -5.0, -5.0, -5.0, 4.293266828163363, 5.0, 5.0, 5.0, -1.0954602157860198];151.20680010004435;13.07192560005933
[2.8060389360000104, -2.4999999999986047];True;[-5.0, -4.811852404900654, -4.945323895617801, -5.0, -4.635749577451147, 3.4040424012673505, -5.0, -2.0409490516091355, -4.6010577577127165, -4.659925811002054];161.62870449991897;13.07192560005933
[2.5315200000000093, -2.47531935];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];169.13082150008995;8.694999500061385
[2.873417544000001, -1.268107];True;[-5.0, -4.350414652633014, -5.0, -5.0, -5.0, 0.25102680955551726, -5.0, -5.0, -5.0, 4.927955898341413];166.09667779994197;8.694999500061385
[2.9841739200000132, -2.3799607];True;[-5.0, 5.0, 5.0, -5.0, -5.0, -4.043812150814441, -5.0, -5.0, -5.0, -5.0];206.91621930000838;8.694999500061385
[2.8766454480000094, -2.2614583];True;[-5.0, 4.752201615159915, -5.0, -5.0, -5.0, 1.0048911577914073, -4.893570394632951, -5.0, -4.885472358824285, -5.0];172.31789319997188;8.694999500061385
[2.746580184000008, -2.2470935];True;[-5.0, -5.0, 4.956485374443151, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];178.76902430003975;8.694999500061385
[2.697060888000008, -2.4999999999988733];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 2.663928619045742, -5.0, -5.0, -5.0];159.67641549999826;5.550793900038116
[2.6559949680000083, -2.4999999999960942];True;[-5.0, -2.546955422447379, -5.0, -5.0, -5.0, -5.0, -1.6903127667029958, -5.0, -5.0, -5.0];168.05303180008195;5.550793900038116
[2.8927860480000014, -2.499999999998057];True;[1.9909577172985244, -2.7739069441479707, -5.0, -5.0, -5.0, -5.0, 2.508223799177668, -5.0, -5.0, -5.0];165.13013970002066;5.550793900038116
[2.546849736000001, 0.005034999999999901];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.29029002392791, -5.0, -5.0, -5.0];166.61693850008305;5.550793900038116
[3.179520000000005, -2.0422111];True;[5.0, -5.0, -5.0, -5.0, 5.0, -5.0, 5.0, -5.0, -5.0, -5.0];167.9411563000176;5.550793900038116
[2.8622779920000063, -2.48415051];True;[-0.2642070608203966, 2.0308417640262286, -5.0, -5.0, -5.0, -5.0, -1.4537834465043504, -5.0, -5.0, -5.0];170.2161885999376;7.681624899967574
[2.8616751360000108, -0.4424610000000002];True;[-5.0, 3.0548517367567385, -5.0, -5.0, -5.0, -5.0, 2.2301062155252014, -5.0, -5.0, -5.0];160.88368169998284;7.681624899967574
[2.6117208000000085, -1.6930774];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -1.2869934333507165, -5.0, -5.0, -5.0];167.8838906000601;7.681624899967574
[2.8964679840000063, -0.33842099999999986];True;[4.8893829085241265, -1.0885909271858214, -5.0, -4.906965412626381, -5.0, -1.9980995719048784, -5.0, -5.0, -5.0, -5.0];166.7912860000506;7.681624899967574
[2.7475200000000033, -2.4999999999769322];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 5.0, -5.0, -5.0, -5.0];165.32040550000966;7.681624899967574
[2.7517220640000115, -2.4999999999997944];True;[-5.0, -5.0, -4.069423002255488, -3.270170894872236, -5.0, -3.5821502365436064, 0.6615120970339898, -4.545221128772625, -5.0, -5.0];163.883316499996;13.386780800065026
[2.9373254640000095, 1.7126830000000002];True;[-2.941666282495439, -5.0, -5.0, 5.0, -5.0, -5.0, 1.7289415363994696, -5.0, -5.0, -5.0];167.79374200000893;13.386780800065026
[2.736870336000008, -2.2270846];True;[-0.31341195872310745, -5.0, -5.0, -5.0, -5.0, -5.0, -0.1796355258353728, -5.0, -5.0, -5.0];165.2356800000416;13.386780800065026
[2.7998863920000034, -1.8832982];True;[-5.0, -5.0, -5.0, -4.7747706982025875, -5.0, -5.0, 0.01721519044871833, 2.1819244514207528, -5.0, -5.0];166.24649910000153;13.386780800065026
[2.7536911200000125, -2.2065492];True;[-5.0, 2.3015279094410337, -4.978334427913621, -5.0, -3.1522528119538338, -5.0, -4.871570932471657, -4.013671706880097, -5.0, -5.0];183.70477360009681;13.386780800065026
[2.658129912000012, -1.084741];True;[-5.0, -1.3833718897015306, -5.0, -2.755075788637437, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];201.18754730001092;8.403149600024335
[2.6177288400000136, -1.000852];True;[-5.0, -1.0088518459944633, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];171.35903769999277;8.403149600024335
[2.5315200000000093, -2.47531935];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];169.33874929999;8.403149600024335
[2.6523100080000086, -2.420232];True;[-3.63485601447809, -5.0, -5.0, -4.255242725650573, -5.0, -4.943744498534334, -1.574029371243006, -5.0, -5.0, -5.0];166.82785089989193;8.403149600024335
[2.6888686560000012, -2.499999999996524];True;[-5.0, -3.332068871578025, -4.914465331627159, -1.8102750758266755, -5.0, -4.108087878995972, -3.6690214454384593, -5.0, -4.881392944517673, -5.0];176.4467513000127;8.403149600024335
[2.561163840000005, -2.3253906];True;[-5.0, -5.0, -5.0, -4.322331442261699, -5.0, -4.309524187303635, -4.995736960349352, -5.0, -5.0, -5.0];176.10131759999786;8.78047920006793
[2.6774407440000036, -2.1740595];True;[-5.0, -5.0, -5.0, -3.6718563716456636, -5.0, -4.993034231414592, 0.42048108139181917, -5.0, -5.0, -5.0];163.29439629998524;8.78047920006793
[2.595487536000002, 1.434488];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -2.038544947241184, -5.0];163.90374420001172;8.78047920006793
[2.5315200000000093, -2.47531935];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];164.1371578000253;8.78047920006793
[2.7769815360000063, -1.8045792];True;[-3.9460318499694313, -0.7662065665381768, -4.965360605947843, 0.0991026932157606, -4.537357442616322, -4.783965660230439, -5.0, -4.736192557502387, -5.0, -5.0];167.1144964999985;8.78047920006793
[2.5812991440000017, -1.6590559];True;[-5.0, -5.0, -5.0, -2.6954156155071027, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];174.86291139991954;12.081882899976335
[2.650212000000013, -2.46936287];True;[-5.0, -5.0, -5.0, -2.0988062332097925, -5.0, -5.0, -5.0, -5.0, -5.0, -2.406190074889296];175.6183157999767;12.081882899976335
[2.573855136000003, -2.499999999979616];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.040035513207565];166.55021909996867;12.081882899976335
[2.5893298080000013, -2.4999999999449263];True;[-5.0, -5.0, -3.778154883592161, -4.5351938482415495, -5.0, -4.652536688227986, -4.369753347043658, -5.0, -5.0, -4.987988014536996];166.20939489989541;12.081882899976335
[2.7147266640000085, -2.4999999999943445];True;[-5.0, -5.0, -5.0, -5.0, -5.0, 1.032405708276908, -2.550626249589569, -5.0, -5.0, -5.0];164.8682744000107;12.081882899976335
[2.5825037760000003, -2.45826415];True;[-5.0, -5.0, -5.0, -4.965987464971103, -5.0, -4.297252959308506, -3.3763853406360407, -5.0, -5.0, -5.0];182.47556240006816;7.706103199976496
[2.5736555520000093, -2.2461548000000002];True;[-5.0, -5.0, -5.0, -3.324081776142246, -5.0, -5.0, -5.0, -5.0, -5.0, -4.725181741875327];206.709260399919;7.706103199976496
[2.60551317600001, -2.3536422];True;[-5.0, -5.0, -4.998972736914981, -3.4793286028432067, -4.999692612985138, -4.99800375826871, -5.0, -4.999447358021398, -5.0, -3.098971794161172];179.33564379997551;7.706103199976496
[2.621180736000012, -1.6817988000000001];True;[-5.0, -5.0, -5.0, -3.5266662486230036, -5.0, -2.322384614114858, -4.9999997387363, -5.0, -5.0, -5.0];174.76455970003735;7.706103199976496
