eval_id;objectives;objectives_maxspace;cv;is_feasible;variables;evaluation_time;algorithm_time;workdir
21;[3.9087999360000043, -2.499999999998368];[-3.9087999360000043, 2.499999999998368];0.0;True;[2.365806449155203, -1.343845404834465, 4.004699953031107, -1.2514205350624574, 4.769670306158249, -0.9661366514973366, 3.7332372206474407, -2.543395507324621, 0.2780311854075048, 4.7163513765499445];152.52029030000267;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_865495
22;[3.7036867680000087, -2.4999999999956755];[-3.7036867680000087, 2.4999999999956755];0.0;True;[3.568996852365281, -2.35972964230338, -2.6090830751827854, -3.285068364955893, -4.9194096896378525, 3.6462001109029636, 4.491421822154123, -2.4685070167784606, 3.2239631801166695, 4.978203475262957];149.34268940000038;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_155640
23;[3.560324760000011, -2.2659813];[-3.560324760000011, 2.2659813];0.0;True;[-2.9063816162916467, 1.992867770018476, 0.06281881150594781, 2.1609401397305037, 1.7100338282027892, -2.2507483080048587, -2.768784214557869, -4.044203285160554, 1.035934049783597, 2.63735479804825];151.30364509999708;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_751125
24;[3.187672488000004, -2.4999999999970455];[-3.187672488000004, 2.4999999999970455];0.0;True;[-3.288410544828375, 0.8145198421510402, -4.398173674953604, -0.3370026098202361, -4.713910820577887, 2.113529577880654, -0.6766465133714714, -0.8644816775862205, -4.040540260255455, -4.231445351662911];155.28980109999975;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_69045
25;[3.560110704000002, -1.711099];[-3.560110704000002, 1.711099];0.0;True;[-2.219086813457807, -4.174507236821153, 2.7232406644893183, 3.850130661168441, -3.766383679222379, 3.341658397548617, -3.941604993513539, 1.145246966272932, -3.1873405778616473, 3.848606990826296];154.49678910000148;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_439376
26;[3.9343386960000033, -1.9125217];[-3.9343386960000033, 1.9125217];0.0;True;[3.20666697203203, -1.9819864556772302, 1.1877435756101598, 3.3446719072352966, 2.8929526047997154, 3.838875781953023, -1.6739995705430024, 4.0514833785217785, -1.83944404753976, 1.918361425824319];156.23689989999912;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_179738
27;[3.932267256000002, -2.4999999999974247];[-3.932267256000002, 2.4999999999974247];0.0;True;[4.864713196511467, -1.4129824712333061, -0.23212751296189804, 2.0626360907257544, 0.559098752492309, 4.312804273426421, 3.8647146995805564, 0.18429545721916618, 3.1471290798095204, -2.5008494036033446];156.90041869999914;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_146109
28;[3.651194232000013, -2.492070571];[-3.651194232000013, 2.492070571];0.0;True;[-2.70953087588277, -3.990621781613445, 4.001196923845496, 4.702391450995172, 1.9424721604029171, -2.323759209261018, 2.651754191342591, 0.4199135606645328, 0.6150065941542735, -3.4720498218730453];159.30734740000116;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_649503
29;[3.3362262720000038, -1.434005];[-3.3362262720000038, 1.434005];0.0;True;[-3.429112504795663, -4.5593449687891985, 1.4826441030374937, 4.2770236691007995, 4.369169188253073, -3.0397583756793933, 1.425529947226365, -3.5467610551475817, -4.9316965691676105, -4.79275623392987];161.878273600003;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_731292
30;[3.410701560000007, -0.20086000000000004];[-3.410701560000007, 0.20086000000000004];0.0;True;[-0.8129751896341819, -1.015406927832169, -3.520586907652735, 3.5507119866556103, 0.9846800157302642, 2.915230629503288, -1.693887285197885, -4.69426479438264, -2.0552267558602857, -2.955454490694197];157.6631544999982;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_408035
